Eval, Episode: 187000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 261000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 262000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 263000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 264000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 265000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 266000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 267000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 268000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 269000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 270000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 271000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 272000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 273000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 274000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 275000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 276000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 277000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 278000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 279000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 280000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 281000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 282000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 283000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 284000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 285000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 286000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 287000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 288000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 289000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 290000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 291000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 292000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 293000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 294000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 295000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 296000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 297000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 298000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 299000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 300000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 301000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 302000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 303000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 304000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 305000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 306000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 307000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 308000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 309000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 310000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 311000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 312000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 313000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 314000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 315000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 316000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 317000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 318000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 319000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 320000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 321000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 322000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 323000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 324000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 325000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 326000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 327000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 328000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 329000, Wins: {<Player.LIGHT: 0>: 96, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 1}
Eval, Episode: 330000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 331000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 332000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 333000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 334000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 335000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 336000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 337000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 338000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 339000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 340000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 341000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 342000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 343000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 344000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 345000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 346000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 347000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 348000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 349000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 350000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 351000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 352000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 353000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 354000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 355000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 356000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 357000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 358000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
